x,y,z,w0,w1,w2,w3
1.4173889315441572,-4.532696477640982,0.0,0.0,0.0,0.0,1.0
1.2074560163392594,-4.53741580923878,0.0,0.0,0.0,0.0,1.0
0.8961518288028866,-4.577728586671723,0.0,0.0,0.0,0.0,1.0
0.6172682913748674,-4.6339356643417595,0.0,0.0,0.0,0.0,1.0
0.3653453295456078,-4.66450800779872,0.0,0.0,0.0,0.0,1.0
0.1076636414810862,-4.684953748911275,0.0,0.0,0.0,0.0,1.0
-0.1430352941160111,-4.721354771993497,0.0,0.0,0.0,0.0,1.0
-0.3802236757758244,-4.812624556349831,0.0,0.0,0.0,0.0,1.0
-0.618449884600236,-4.933232060517546,0.0,0.0,0.0,0.0,1.0
-0.8338048974219797,-5.00097853114048,0.0,0.0,0.0,0.0,1.0
-1.0407847271890356,-5.041417752924331,0.0,0.0,0.0,0.0,1.0
-1.255296342567772,-5.16346882661003,0.0,0.0,0.0,0.0,1.0
-1.478137829643165,-5.259867868033254,0.0,0.0,0.0,0.0,1.0
-1.6860185319500545,-5.394669410958021,0.0,0.0,0.0,0.0,1.0
-1.8567797414873888,-5.567798137242595,0.0,0.0,0.0,0.0,1.0
-2.0129244130475312,-5.774212411360899,0.0,0.0,0.0,0.0,1.0
-2.1637997412466317,-5.9871417066707275,0.0,0.0,0.0,0.0,1.0
-2.281433026190846,-6.20665794918408,0.0,0.0,0.0,0.0,1.0
-2.384329821094162,-6.39240938627455,0.0,0.0,0.0,0.0,1.0
-2.470429364908064,-6.612226139375721,0.0,0.0,0.0,0.0,1.0
-2.5636160571791704,-6.853136884507707,0.0,0.0,0.0,0.0,1.0
-2.651751716029567,-7.0637417774074915,0.0,0.0,0.0,0.0,1.0
-2.6983616199796425,-7.279202976149893,0.0,0.0,0.0,0.0,1.0
-2.766787183183105,-7.508668512259689,0.0,0.0,0.0,0.0,1.0
-2.832900497140898,-7.759196233882643,0.0,0.0,0.0,0.0,1.0
-2.8712232774777773,-7.990993042676473,0.0,0.0,0.0,0.0,1.0
-2.9067832061660637,-8.271016392952736,0.0,0.0,0.0,0.0,1.0
-2.9426416787051815,-8.475764297904792,0.0,0.0,0.0,0.0,1.0
-2.9812111722306716,-8.701548488888985,0.0,0.0,0.0,0.0,1.0
-3.0155266442274606,-8.956200960569042,0.0,0.0,0.0,0.0,1.0
-3.061563723699866,-9.232303506580534,0.0,0.0,0.0,0.0,1.0
-3.097325338944573,-9.467442364107075,0.0,0.0,0.0,0.0,1.0
-3.1363745802742455,-9.732570863193637,0.0,0.0,0.0,0.0,1.0
-3.172914613822273,-9.958507513566031,0.0,0.0,0.0,0.0,1.0
-3.220086438922737,-10.168430628759646,0.0,0.0,0.0,0.0,1.0
-3.2448044505085463,-10.47339144726165,0.0,0.0,0.0,0.0,1.0
-3.2554871101385827,-10.704454143549036,0.0,0.0,0.0,0.0,1.0
-3.2519751652636373,-10.899166944119912,0.0,0.0,0.0,0.0,1.0
-3.2322133579703274,-11.134130340079174,0.0,0.0,0.0,0.0,1.0
-3.2342765595769185,-11.39518467811409,0.0,0.0,0.0,0.0,1.0
-3.2398201496585504,-11.631752711316024,0.0,0.0,0.0,0.0,1.0
-3.220211380897799,-11.879575839554407,0.0,0.0,0.0,0.0,1.0
-3.186687189087273,-12.12744998871962,0.0,0.0,0.0,0.0,1.0
-3.167173167600537,-12.396367067687397,0.0,0.0,0.0,0.0,1.0
-3.1501781811861966,-12.63151301328025,0.0,0.0,0.0,0.0,1.0
-3.097501402299905,-12.86020357765796,0.0,0.0,0.0,0.0,1.0
-3.0132070485047966,-13.111737817081677,0.0,0.0,0.0,0.0,1.0
-2.9195064984912418,-13.32248472760615,0.0,0.0,0.0,0.0,1.0
-2.8179855611794324,-13.56224602339169,0.0,0.0,0.0,0.0,1.0
-2.6838879659372235,-13.75762237412061,0.0,0.0,0.0,0.0,1.0
-2.516067373199346,-13.913583079721247,0.0,0.0,0.0,0.0,1.0
-2.3110551544168767,-14.070814058436085,0.0,0.0,0.0,0.0,1.0
-2.1117271713329036,-14.236452432093436,0.0,0.0,0.0,0.0,1.0
-1.92471111789918,-14.388751245871068,0.0,0.0,0.0,0.0,1.0
-1.7151837170507604,-14.495904098376478,0.0,0.0,0.0,0.0,1.0
-1.48334871144087,-14.612554736189583,0.0,0.0,0.0,0.0,1.0
-1.2433081846350396,-14.695071598761784,0.0,0.0,0.0,0.0,1.0
-0.9887320511554852,-14.750141884097474,0.0,0.0,0.0,0.0,1.0
-0.7493502160835899,-14.778084019707842,0.0,0.0,0.0,0.0,1.0
-0.504739503848208,-14.7543735870698,0.0,0.0,0.0,0.0,1.0
-0.270709285199188,-14.69138051783689,0.0,0.0,0.0,0.0,1.0
-0.0494936705768742,-14.592649908844582,0.0,0.0,0.0,0.0,1.0
0.1607238696973938,-14.506675250124966,0.0,0.0,0.0,0.0,1.0
0.3424652265799818,-14.337366048740002,0.0,0.0,0.0,0.0,1.0
0.5005913583451258,-14.150899794208607,0.0,0.0,0.0,0.0,1.0
0.6490715768877521,-13.970361210719949,0.0,0.0,0.0,0.0,1.0
0.7775464599908444,-13.77226775237133,0.0,0.0,0.0,0.0,1.0
0.8681290702299562,-13.547610260840584,0.0,0.0,0.0,0.0,1.0
0.938160583969752,-13.30169496045208,0.0,0.0,0.0,0.0,1.0
1.0191151973198187,-13.080113775180482,0.0,0.0,0.0,0.0,1.0
1.0877471406965475,-12.82352805064456,0.0,0.0,0.0,0.0,1.0
1.1179133729025008,-12.589927813644977,0.0,0.0,0.0,0.0,1.0
1.134719246784493,-12.334318963050634,0.0,0.0,0.0,0.0,1.0
1.167843711971259,-12.064439746572631,0.0,0.0,0.0,0.0,1.0
1.1445976645039018,-11.81190312888206,0.0,0.0,0.0,0.0,1.0
1.0712932326413902,-11.59417729783598,0.0,0.0,0.0,0.0,1.0
1.026942793920921,-11.360773723467554,0.0,0.0,0.0,0.0,1.0
0.9867030059197196,-11.088574233661127,0.0,0.0,0.0,0.0,1.0
0.9350759810397352,-10.846548859930047,0.0,0.0,0.0,0.0,1.0
0.8443362906549019,-10.615019527557711,0.0,0.0,0.0,0.0,1.0
0.7429157325649322,-10.443728166185188,0.0,0.0,0.0,0.0,1.0
0.6686889595851937,-10.240686881024429,0.0,0.0,0.0,0.0,1.0
0.6260377815855611,-9.99461271007833,0.0,0.0,0.0,0.0,1.0
0.5525192778526533,-9.785687465673911,0.0,0.0,0.0,0.0,1.0
0.4580759949620241,-9.533083341974166,0.0,0.0,0.0,0.0,1.0
0.3674504032794495,-9.302013980105258,0.0,0.0,0.0,0.0,1.0
0.272045317074732,-9.090455576752449,0.0,0.0,0.0,0.0,1.0
0.1535369109158992,-8.826087835018592,0.0,0.0,0.0,0.0,1.0
0.0213062825532245,-8.59513696384214,0.0,0.0,0.0,0.0,1.0
-0.1149218738647362,-8.398914353115236,0.0,0.0,0.0,0.0,1.0
-0.2440276036584882,-8.184456644738988,0.0,0.0,0.0,0.0,1.0
-0.3423958191434247,-7.949816039798774,0.0,0.0,0.0,0.0,1.0
-0.4299822333020457,-7.750918157767153,0.0,0.0,0.0,0.0,1.0
-0.5402047190538907,-7.544212133478079,0.0,0.0,0.0,0.0,1.0
-0.6882515999919502,-7.337403056820211,0.0,0.0,0.0,0.0,1.0
-0.8340974257090104,-7.130634411962961,0.0,0.0,0.0,0.0,1.0
-0.9765365770674616,-6.91927299648002,0.0,0.0,0.0,0.0,1.0
-1.085528557874612,-6.724086353371803,0.0,0.0,0.0,0.0,1.0
-1.2001807968526452,-6.495864969905716,0.0,0.0,0.0,0.0,1.0
-1.311838077738948,-6.2732419890327895,0.0,0.0,0.0,0.0,1.0
